Term,Category,Confidence,Definition
Tactic,Product,✅,"A specific learnable technique within a competency module — e.g., ""Reciprocity"" within ""Building Influence."" Each tactic has its own set of lessons and 3 scenario variants. The primary unit of practice in Trellium."
Behavioral Library,Product,⁉️,"A SparkEd-owned repository of behavioral tags and patterns used during scenario assembly and post-simulation analysis. Referenced repeatedly but its structure, contents, and curation process are never defined in the PRD."
Layer 1 / 2 / 3 (/ 4),Product,⚠️,"Three-layer (four in one section) scenario construction model: Layer 1 = fixed at assembly (client/SparkEd data), Layer 2 = agent-selected at assembly (optimal mix for learning), Layer 3 = randomized at runtime (new each session). Layer 4 = additional client materials. Layers 1–3 well-defined; Layer 4 appears inconsistently and is underspecified."
Frameworks,Product,✅,"Five structured documents that configure the platform for a specific client: (1) Education Continuum, (2) Excellence Model, (3) HCP Archetypes, (4) Science & Messaging Accuracy Guidelines, and (5) Tactic Rubrics (SparkEd-owned). All must be approved before the platform goes live."
Session Artifact Package,Product,✅,"The bundle of data generated at the end of a simulation and queued for analysis: full transcript, user audio, session metadata, rubric version reference, and framework versions active at session time."
Excellence Model,Product,⚠️,A client's framework defining what high-performance field behavior looks like. Used to calibrate rubrics and scenario difficulty. No template or required format is defined in the PRD.
Tactic Rubric,Product,✅,SparkEd's proprietary scoring rubric for a specific tactic within a competency module. Defines behavioral anchors at each score level. Versioned; sessions are always scored against the rubric version active at session time. Not client-configurable.
Scenario Variants (1–3),Product,⚠️,"Three versions of a scenario per tactic, assembled to create a learning arc from supportive (Variant 1) to complex/challenging (Variant 3). No two variants use the same archetype or setting. How ""difficulty"" is mechanically implemented beyond this is unspecified."
8 Core Relationship Building Competencies™,Domain,✅,"SparkEd's proprietary framework of eight soft skills: (1) Situational Awareness, (2) Active Listening, (3) Building Rapport, (4) Objection Handling, (5) Storytelling, (6) Presentation Skills, (7) Effective Questioning, (8) Building Influence. All curriculum, rubrics, and scoring are anchored to these. Trademarked."
Certification Mode,Process,⁉️,"An org-level configuration in which users must pass scenarios at or above a defined threshold to earn certification, as opposed to ""ongoing learning mode."" What ""certification"" entails (badge, record, gating) is not specified."
Behavioral Tagging,AI / Tech,⁉️,"An analysis step in the post-simulation pipeline that labels moments in the transcript with behavioral markers (empathy, persuasion, tailoring, compliance flags) used in rubric scoring and callout cards. The taxonomy of tags is never defined."
Non-Verbal Cues (10pts),AI / Tech,✅,"A hidden rubric category worth 10 points covering elements like eye contact, posture, and gesture. Infrastructure exists in the backend but switched off at MVP. Activates in Phase 2 when video analysis is live. Currently invisible to users and managers."
Selective Refresh,Process,✅,"An admin operation that re-triggers scenario generation only for scenarios affected by a changed framework or rubric, leaving unaffected scenarios intact. Existing versions remain live until new versions are approved."
Co-ride,Process,✅,A field visit where a manager physically accompanies and observes a rep in a live HCP interaction. Co-ride events are logged in Trellium and annotated on the rep's performance trend line.
Pull-through,Process,⁉️,The mechanism by which training behavior translates into measurable field performance. Identified as a core industry failure. In Trellium addressed via longitudinal KPI correlation — but the specific mechanism connecting simulation scores to field outcomes is not operationalized.
Scenario Assembly Pipeline,Process,✅,A manually-triggered background process that takes approved client frameworks plus SparkEd rubrics and generates a library of scenario briefs for each tactic. Runs in parallel per tactic; hot-deployable without downtime.
God Mode,Process,✅,"SparkEd's internal read-only analytics view across all client tenants. Used to monitor client health, product usage, churn risk, and data flywheel metrics. Architecturally isolated from client-facing interfaces."
Ebbinghaus' Forgetting Curve,Domain,✅,"A psychological model showing that memory retention decays rapidly after learning — approximately 75% forgotten within 24 hours, up to 90% within weeks — unless reinforced. Cited as the scientific rationale for Trellium's spaced, repeated practice model."
,,,
Baseline Assessment,Product,✅,"A mandatory multi-component assessment taken by MSL/Rep users on first login. Three components: Skills Assessment (SJT + Likert), Learning Style Inventory (42 items), and two audio exercises. Output feeds learning path sequencing, Ivy's coaching style, and the manager dashboard. Not required for Manager/Director roles."
Report,Product,✅,"The post-simulation feedback document delivered to the user after the analysis pipeline completes. Structure: What Happened → What You Did Well → What to Work On → Category Breakdown → Score Reveal → Your Next Step → Transcript. Score is revealed last, after narrative. Permanently stored and accessible from My Sessions."
Learning Path,Product,✅,"The personalized sequence of modules Ivy recommends for a given user, derived from their baseline assessment competency scores (lowest-scoring competencies surfaced first). Not a hard gate — users can deviate freely. Re-sequences when a new assessment is completed."
Performance Tier,Product,✅,"A four-level classification applied to simulation scores: Needs Development (0–59), Developing (60–74), Proficient (75–89), Advanced (90–100). Used to color-code dashboards, drive CTA logic post-simulation, and track longitudinal progression."
SparkEd Admin,Product,✅,"SparkEd's internal operator role. Responsible for client onboarding, framework review and approval, scenario assembly pipeline triggers, and platform configuration across all client tenants. Has access to God Mode analytics."
Module,Product,✅,"The top-level unit of the content hierarchy, corresponding to one of the 8 core competencies (e.g., ""Active Listening,"" ""Objection Handling""). A module contains multiple lessons (tactics). Users can access any licensed module freely — no gatekeeping."
Certification Path,Product,⁉️,"A structured sequence of scenarios a user must complete and pass above a defined threshold to achieve certification. Enabled via ""Certification Mode"" at the org level. What certification produces (badge, record, downstream gating) is not defined in the PRD."
Lesson,Product,✅,"The second level of the content hierarchy, corresponding to a single tactic within a competency module. Each lesson contains three format variants (Watch, Read, Listen) and unlocks its associated scenarios once any one format is completed."
Competency,Product,✅,"One of the 8 core soft skills in SparkEd's proprietary framework (e.g., Situational Awareness, Building Rapport). The foundational unit around which all modules, rubrics, assessment scoring, and learning path sequencing are organized."
Journey / Journey Map,Product,✅,The primary navigation interface of the platform — a visual path (Duolingo-style) showing nodes for each licensed competency module. Nodes are sequenced by Ivy based on assessment scores; users can click into any node freely. The map updates when a user retakes their assessment.
Super Admin,Product,✅,"A client-side administrator role with the highest level of access within a client org. Responsible for user provisioning, KPI configuration, leaderboard settings, and module deadline assignment. Distinct from SparkEd Admin (the internal operator role)."
Scenario Brief,Product,✅,"An auto-generated read-only document served to the user before entering a simulation. Contains: scenario objective, HCP background, setting, clinical context, anticipated challenges, key messaging guidance, and tactic focus. Accessible as a minimizable reference panel during the simulation."
Learning Style Inventory,Product,⚠️,"A 42-item psychometrically designed instrument measuring 7 dimensions of how a user prefers to learn (e.g., Active vs. Reflective, Visual vs. Verbal). Output expressed as a percentage lean per dimension. Used to calibrate Ivy's coaching style and module sequencing. No instrument name or source is cited in the PRD."
Analysis Pipeline,Product,✅,The automated post-simulation process that converts a session artifact package into a scored feedback report. Target: under 90 seconds. Steps: transcript finalization → speech metrics → behavioral tagging → rubric scoring → moment selection → narrative generation → report assembly.
Co-ride Log,Product,✅,"A structured log within the Manager Dashboard for recording field co-ride events. Fields include: date, rep, HCP count, internal coaching notes (manager-only), coaching notes for rep (delivered via in-platform notification), and follow-up actions. Co-ride events appear as annotated markers on the rep's performance trend line."
Tenant,AI / Tech,✅,An isolated data environment provisioned per client organization. Multi-tenancy is enforced at the architecture level — client users can never access cross-tenant data. Provisioned automatically when SparkEd Admin creates a new org record.
Curriculum,Product,✅,"The set of modules and lessons assigned to a user or org. Configured at the org level by SparkEd Admin — clients can license any subset of the 8 modules. ""Curriculum assignment"" determines which competencies are visible and accessible to a given org's users."
Node,Product,✅,"A single stop on the Journey Map, representing one competency module. States: Recommended Next, Available, In Progress, Completed. The user's avatar or progress marker sits at their current furthest point on the map."
Onboarding Sequence,Product,✅,The structured first-login experience for new users: Ivy-led welcome → profile completion → baseline assessment → assessment report → personalized journey map. Auto-saves progress; resumes where left off if interrupted.
